Feature,Coefficient
GarageFinish_None,-12473.78
GarageFinish_RFn,-4726.386
GarageFinish_Unf,-2818.696
GarageQual_Ex,104866.571
GarageQual_Fa,-28380.491
GarageQual_Gd,-24567.615
GarageQual_None,-12473.781
GarageQual_Po,-39850.791
GarageQual_TA,-22132.007
GarageCond_Ex,-99107.878
GarageCond_Fa,19877.064
GarageCond_Gd,22142.44
GarageCond_None,-12473.781
GarageCond_Po,24264.197
GarageCond_TA,22759.832
PavedDrive_N,-6094.157
PavedDrive_P,-9826.09
PavedDrive_Y,-6617.861
PoolQC_Ex,12841.81
PoolQC_Fa,-152413.113
PoolQC_Gd,-123577.893
PoolQC_None,240611.086
Fence_GdPrv,-10638.804
Fence_GdWo,-2444.082
Fence_MnPrv,-965.273
Fence_MnWw,-6761.129
Fence_None,-1728.83
MiscFeature_Gar2,-14835.697
MiscFeature_None,-13449.858
MiscFeature_Othr,4994.335
MiscFeature_Shed,-11138.853
MiscFeature_TenC,11891.981
SaleType_COD,-12372.785
SaleType_CWD,3115.062
SaleType_Con,12798.396
SaleType_ConLD,3681.96
SaleType_ConLI,-8896.45
SaleType_ConLw,-10695.479
SaleType_New,8008.159
SaleType_Oth,-5307.202
SaleType_WD,-12869.768
SaleCondition_Abnorml,-6733.405
SaleCondition_AdjLand,2939.844
SaleCondition_Alloca,-6946.777
SaleCondition_Family,-5656.828
SaleCondition_Normal,50.01
SaleCondition_Partial,-6190.968
